"Statistic Label","Month","Driving Test Categories","Driving Test Centre","UNIT","VALUE"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Donegal, Co. Donegal","Number","16"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Drogheda, Co. Louth","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Dun Laoghaire / Deansgrange, Co. Dublin","Number","160"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Dundalk, Co. Louth","Number","25"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Dungarvan, Co. Waterford","Number","12"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Ennis, Co. Clare","Number","24"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Finglas, Co. Dublin","Number","102"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Galway (Carnmore), Co. Galway","Number","18"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Galway (Westside), Co. Galway","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Gorey, Co. Wexford","Number","29"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Kilkenny (Govt Buildings), Co. Kilkenny","Number","47"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Kilkenny (O'Loughlin Gaels), Co. Kilkenny","Number","14"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Killarney, Co. Kerry","Number","21"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Killester, Co. Dublin","Number","61"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Kilrush, Co. Clare","Number","10"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Letterkenny, Co. Donegal","Number","22"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Limerick - Castlemungret, Co. Limerick","Number","46"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Limerick - Woodview, Co. Limerick","Number","39"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Limerick (Roxboro), Co. Limerick","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Longford, Co. Longford","Number","9"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Loughrea, Co. Galway","Number","16"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Loughrea (Lough Rea Hotel & Spa), Co. Galway","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Mallow, Co. Cork","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Mallow (Cork Racecourse Mallow), Co. Cork","Number","29"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Monaghan, Co. Monaghan","Number","11"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Mulhuddart, Co. Dublin","Number","73"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Mulhuddart (Carlton Hotel), Co. Dublin","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Mulhuddart Maple House, Co. Dublin","Number","24"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Mullingar, Co. Westmeath","Number","33"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Naas, Co. Kildare","Number","135"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Navan, Co. Meath","Number","68"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Nenagh, Co. Tipperary","Number","17"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Newcastle West, Co. Limerick","Number","13"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Newcastle West (Longcourt House Hotel), Co. Limerick","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Portlaoise, Co. Laois","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Portlaoise (Maldron Hotel), Co. Laois","Number","36"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Raheny, Co. Dublin","Number","55"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Roscommon, Co. Roscommon","Number","10"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Shannon, Co. Clare","Number","14"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Skibbereen, Co. Cork","Number","18"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Sligo, Co. Sligo","Number","24"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Tallaght, Co. Dublin","Number","271"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Thurles, Co. Tipperary","Number","9"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Tipperary, Co. Tipperary","Number","6"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Tralee, Co. Kerry","Number","29"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Tralee (HGV's), Co. Kerry","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Tuam, Co. Galway","Number","9"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Tullamore, Co. Offaly","Number","19"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Waterford, Co. Waterford","Number","83"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Wexford, Co. Wexford","Number","32"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Wicklow, Co. Wicklow","Number","32"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Galway (Clybaun Hotel), Co. Galway","Number","32"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Sandyford, Co. Dublin","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Drogheda – Southgate, Co. Louth","Number","50"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Mitchelstown, Co. Cork","Number","21"
