SIGN FILE TO DESCRIPTION MAPPING
==================================
This document maps each sign file number to its corresponding description from signs.txt

File Number | Description
50.png      | 50. Site Access On Left
51.png      | 51. Pedestrians Cross To Left
52.png      | 52. Lanes Diverge At Crossover
53.png      | 53. Two-Lanes Crossover (Out)
54.png      | 54. Lanes Rejoin At Crossover
55.png      | 55. Two-Lanes Crossover (Back)
56.png      | 56. Site Access On Right
57.png      | 57. Queues Likely
58.png      | 58. Pedestrians Cross To Right
59.png      | 59. Drivers must keep left of the continuous white line.
60.png      | 60. Drivers must not cross the broken white lines unless it is safe to do so.
61.png      | 61. The edge of the carriageway or hard shoulder.
62.png      | 62. No Entry
63.png      | 63. Traffic must not enter unless they can clear the box junction without stopping, or when turning right.
64.png      | 64. Continuous white lines ahead.
65.png      | 65. Drivers may not cross the lines to overtake.
66.png      | 66. Parking Prohibited
67.png      | 67. Parking Prohibited At Times Displayed
68.png      | 68. Zebra Crossing
[NO FILE 69 - NO DESCRIPTION 69]
70.png      | 70. Dangerous Left Corner Ahead
71.png      | 71. Dangerous Left Bend Ahead
72.png      | 72. Series Of Dangerous Corners Ahead
73.png      | 73. Series Of Dangerous Bends Ahead
74.png      | 74. Crossroads Ahead
75.png      | 75. Side Road On The Left Ahead
76.png      | 76. Side Road On The Right Ahead
77.png      | 77. Y-Junction
78.png      | 78. Crossroads Ahead With Road Of Less Importance
79.png      | 79. Side Road Of Less Importance On The Left Ahead
80.png      | 80. T-Junction Ahead With Road Of Less Importance To The Right
81.png      | 81. Y-Junction Ahead With Road Of Less Importance To The Right
82.png      | 82. Staggered Crossroads
83.png      | 83. Traffic Cross-over Ahead
84.png      | 84. Roundabout Ahead
85.png      | 85. Crossroads Ahead With Road Of Higher Importance
86.png      | 86. T-Junction Ahead With Road Of Higher Importance
87.png      | 87. Crossroads With Dual-Carriageway
88.png      | 88. T-Junction With Dual-Carriageway
89.png      | 89. Sharp Rise Ahead
90.png      | 90. Sharp Dip Ahead
91.png      | 91. Series Of Bumps Or Hollows Ahead
92.png      | 92. Steep Ascent Ahead
93.png      | 93. Steep Descent Ahead
94.png      | 94. Danger Of Falling Rocks
95.png      | 95. Low Flying Aircraft
96.png      | 96. Slippery Road Ahead
97.png      | 97. School Ahead
98.png      | 98. Road Divides
99.png      | 99. Unguarded Level Crossing Ahead
100.png     | 100. Unprotected Body Of Water Ahead
101.png     | 101. Traffic Signals Ahead
102.png     | 102. Beware Of Sheep
103.png     | 103. Pedestrian Crossing Ahead
104.png     | 104. Two-Way Traffic
105.png     | 105. Dual-Carriageway Ends
106.png     | 106. Level Crossing With Lights & Barriers
107.png     | 107. Merging Traffic
108.png     | 108. Merging & Diverging Traffic
109.png     | 109. Road Narrows From The Left
110.png     | 110. Road Narrows On Both Sides
111.png     | 111. Road Narrows From The Right
112.png     | 112. Overhead Electric Cables
113.png     | 113. Mini-Roundabout Ahead
114.png     | 114. Accompanied Horses & Ponies
115.png     | 115. Beware Of Cattle
116.png     | 116. Beware Of Deer Or Wild Animals
117.png     | 117. Guarded Level Crossing Ahead
118.png     | 118. Children Crossing (Residential)
119.png     | 119. Tunnel Ahead
120.png     | 120. Tram Lane Crossing Ahead
121.png     | 121. Crosswinds
122.png     | 122. Loop Road Ahead
123.png     | 123. Lane Loss
124.png     | 124. Start Of Passing Lane
125.png     | 125. Start Of Climbing Lane
126.png     | 126. Sharp Change Of Direction (Left – Chevron Board)
127.png     | 127. Low Bridge Ahead
128.png     | 128. Sharp Change Of Direction (Right – Chevron Board)
129.png     | 129. Keep Left
130.png     | 130. Keep Right
131.png     | 131. Pass Either Side
132.png     | 132. Keep Straight Ahead
133.png     | 133. Turn Right
134.png     | 134. Turn Left
135.png     | 135. Turn Right Ahead
136.png     | 136. Turn Left Ahead
137.png     | 137. With Flow Bus Lane On Left
138.png     | 138. With Flow Bus Lane On Right
139.png     | 139. Contra-Flow Bus Lane
140.png     | 140. Tram Lane On Right
141.png     | 141. Tram Lane On Left

SUMMARY:
--------
Total files in "All signs test day" folder: 140 files (1-68, 70-141)
Total descriptions in signs.txt: 140 descriptions (1-68, 70-141)
Status: ✅ ALL FILES MATCH THEIR CORRESPONDING DESCRIPTIONS

Note: There is no file 69.png and no description 69, which is consistent.

